0	0	0	0	0	0	0
0.02	0	-0.192276	0.392	0	0	0
0.04	0	-0.3801168	0.7764492	0	0	0
0.06	0	-0.5624816	1.15405	0	0	0
0.08	0	-0.7384313	1.525444	0	0	0
0.09999999	0	-0.9071327	1.891198	0	0	0
0.12	0	-1.067861	2.251803	0	0	0
0.14	0	-1.220004	2.607671	0	0	0
0.16	0	-1.363057	2.959131	0	0	0
0.18	0	-1.496628	3.306433	0	0	0
0.2	0	-1.620429	3.64975	0	0	0
0.22	0	-1.734279	3.989186	0	0	0
0.24	0	-1.838095	4.324781	0	0	0
0.26	0	-1.931888	4.656518	0	0	0
0.28	0	-2.015757	4.984334	0	0	0
0.3	0	-2.089882	5.308125	0	0	0
0.32	0	-2.154518	5.62776	0	0	0
0.34	0	-2.209983	5.943085	0	0	0
0.36	0	-2.256653	6.253932	0	0	0
0.38	0	-2.29495	6.560129	0	0	0
0.4	0	-2.325336	6.861504	0	0	0
0.42	0	-2.348306	7.15789	0	0	0
0.44	0	-2.364374	7.449133	0	0	0
0.46	0	-2.374069	7.735094	0	0	0
0.48	0	-2.377925	8.015649	0	0	0
0.5	0	-2.376478	8.290697	0	0	0
0.52	0	-2.370257	8.560158	0	0	0
0.54	0	-2.359776	8.823971	0	0	0
0.56	0	-2.345536	9.082099	0	0	0
0.58	0	-2.328014	9.334524	0	0	0
0.6	0	-2.307664	9.58125	0	0	0
0.62	0	-2.284914	9.822299	0	0	0
0.64	0	-2.260162	10.05771	0	0	0
0.66	0	-2.233778	10.28753	0	0	0
0.68	0	-2.206102	10.51184	0	0	0
0.7	0.0004206439	-2.177442	10.73071	0	-0.00196	0
0.72	0.001690693	-2.148078	10.94424	0	-0.0058408	0
0.74	0.00424515	-2.118261	11.15251	0	-0.01160398	0
0.76	0.008523517	-2.088212	11.35564	0	-0.01921191	0
0.78	0.01496818	-2.058128	11.55373	0	-0.02862767	0
0.8	0.02448338	-2.028179	11.74689	0	-0.04177512	0
0.82	0.0375091	-1.998513	11.93524	0	-0.05661961	0
0.84	0.05448336	-1.969254	12.11887	0	-0.07312723	0
0.86	0.07584107	-1.940509	12.29789	0	-0.09126469	0
0.88	0.1020131	-1.912364	12.47239	0	-0.1109994	0
0.9	0.1339207	-1.88489	12.64246	0	-0.1342594	0
0.92	0.1719766	-1.858143	12.80816	0	-0.1590143	0
0.94	0.2165866	-1.832164	12.96956	0	-0.185234	0
0.96	0.2681477	-1.806985	13.12669	0	-0.2128893	0
0.98	0.3270486	-1.782627	13.27957	0	-0.2419516	0
1	0.384193	-1.759101	13.42849	0	-0.2371125	0
1.02	0.4395956	-1.736411	13.57358	0	-0.2323703	0
